Steam ID,Avg Assists,Avg Kills,Avg Deaths,Last Hits,Denies,Games Dire,Games Radiant,Total Games,GPM,XPM,Hero Damage,Hero Healing,Level,Wins,Losses,Gold Spent,Tower Damage,KAL,KDA,Winrate
40547474,8.559508409,4.163001294,3.436610608,145.9935317,7.223156533,715,831,1546,388.6203105,396.7037516,10410.80645,654.7951613,16.13324709,895,651,13291.02419,1663.235484,4.235579733,3.702051572,0.578913325
87586992,8.282637076,7.747389034,4.424934726,231.8296345,13.27480418,758,774,1532,509.3191906,523.7330287,18308.54227,201.9214976,19.07114883,767,765,18713.01932,2703.057971,4.513503111,3.622658209,0.500652742
86715129,10.40052875,3.841374752,5.564441507,92.49173827,2.823529412,709,804,1513,329.333113,368.9233311,9580.888496,757.7115044,15.15862525,836,677,11182.33628,788.6513274,2.966106908,2.559448866,0.552544613
108382060,8.456536165,6.509621765,3.464499005,257.4406105,11.71731918,672,835,1507,546.1645654,529.128069,15490.81736,225.5693348,19.09356337,877,630,17788.30891,3903.529876,5.012365649,4.319862095,0.581950896
84772440,10.59853529,4.593874834,4.548601864,176.1225033,7.609853529,729,773,1502,435.8868176,458.3189081,13209.53947,804.5861244,17.79161119,956,546,15175.70574,1567.488038,4.042810908,3.340017564,0.636484687
101495620,8.844190732,6.414372062,3.512424446,244.35863,15.56010745,733,756,1489,533.9408999,517.5285426,14237.5276,301.612013,18.81128274,862,627,18372.97078,3021.831169,5.217362956,4.34416826,0.578912022
86727555,10.08870968,2.807795699,4.677419355,51.46102151,1.956317204,748,740,1488,278.6142473,328.7943548,6920.818182,1415.727273,14.46706989,915,573,8495.93007,426.7706294,3.18172508,2.757183908,0.614919355
139876032,13.11118598,3.381401617,5.359838275,76.82681941,2.833557951,698,786,1484,317.5990566,362.4150943,9046.66296,1201.531223,15.97439353,869,615,10222.90847,365.6552609,3.492618515,3.077068142,0.585579515
3916428,10.7630137,3.093835616,5.676027397,57.15958904,2.732191781,678,782,1460,280.8445205,319.1630137,6986.606759,1579.076805,14.23493151,855,605,8441.927803,437.2642089,2.88562,2.441293592,0.585616438
6922000,11.15569273,2.626200274,5.305898491,57.11248285,3.083676269,664,794,1458,269.5109739,309.1227709,7959.164238,1803.064901,14.81412894,852,606,9197.503311,430.2476821,2.988880188,2.597466391,0.58436214
90423751,10.79711142,4.492434663,4.60866575,94.67537827,5.683631362,784,670,1454,343.5364512,375.4236589,9431.88417,874.8803089,15.57152682,736,718,11122.81853,901.5762548,3.856808178,3.317564543,0.506189821
89423756,11.43589744,3.3000693,4.472626473,80.17255717,3.335412335,642,801,1443,305.5474705,344.8669439,8237.297991,955.2310268,15.31392931,865,578,9792.734375,554.1216518,3.767154518,3.294700961,0.599445599
75750590,11.16978517,2.944559945,5.266805267,56.68676369,3.223839224,759,684,1443,278.2030492,311.6777547,7043.527977,920.5222382,14.19126819,741,702,8793.421808,485.3098996,3.143852854,2.679868421,0.513513514
86870856,9.884401114,4.613509749,4.631615599,160.6079387,5.118384401,722,714,1436,423.2681058,457.4895543,10862.97059,435.4859944,17.33495822,736,700,13441.85574,930.7927171,3.530456013,3.130205984,0.512534819
106863163,9.266898955,8.58466899,3.88641115,261.9679443,12.20905923,725,710,1435,558.4898955,566.984669,19724.40061,209.7535497,20.32125436,889,546,19173.97059,2650.054767,5.447651104,4.593329747,0.619512195
86723143,9.836820084,4.881450488,4.755927476,130.5306834,6.344490934,716,718,1434,395.2301255,434.3158996,10219.68889,749.1535354,16.37587169,825,609,11995.70707,856.1676768,3.6326249,3.094721408,0.575313808
41288955,9.576011158,2.992329149,4.336820084,54.4748954,1.826359833,714,720,1434,265.693166,284.8152022,5932.687885,1931.809035,13.46861925,854,580,8462.648871,330.9178645,3.343440062,2.89805435,0.59553696
87285329,8.919050942,7.372644801,3.615491975,233.0488486,12.07327285,704,729,1433,514.3698535,522.9099791,17492.22476,345.2463942,19.25401256,808,625,18369.39904,3481.019231,5.42094407,4.506079907,0.563852059
11550182,11.33706294,2.408391608,5.579020979,39.28321678,1.824475524,686,744,1430,255.2811189,291.4447552,7739.335635,1782.241713,13.78531469,812,618,8687.486188,369.1629834,2.94452475,2.463775382,0.567832168
86726887,10.50458716,5.358503881,3.954834157,143.6457304,7.637967537,711,706,1417,400.5681016,428.8151023,11815.31775,728.607864,17.13055752,796,621,13119.6068,956.5696068,4.706505385,4.011063526,0.561750176
89871557,9.048295455,6.520596591,3.7734375,240.546875,15.28409091,663,745,1408,517.5490057,521.8735795,16130.74825,371.572028,19.15127841,884,524,18873.46853,3370.179021,5.12924581,4.125917561,0.627840909
87177591,9.043916487,5.324694024,3.731461483,162.4514039,9.758099352,738,651,1389,429.6652268,457.4082073,10414.7984,382.4311377,17.18214543,823,566,13074.86028,1941.051896,4.512753489,3.850665638,0.592512599
93616251,11.40391588,4.578680203,4.174039159,158.1406817,6.29369108,653,726,1379,416.9195069,442.6084119,11468.03077,731.98,17.29079043,859,520,14056.68462,1088.998462,4.529272608,3.82904795,0.622915156
96196828,9.675852067,6.618564177,4.43582306,204.0427846,15.56852792,647,732,1379,487.0050761,496.1007977,17126.46552,320.4169279,18.40319072,721,658,16948.40125,2130.191223,4.531239625,3.673369299,0.52284264
20321748,10.81934033,5.410044978,6.443778111,123.2331334,7.119190405,656,678,1334,379.7098951,411.1754123,12003.63055,302.0456919,16.39955022,728,606,12531.92559,1078.573107,2.966775829,2.518613309,0.545727136
134556694,11.7283105,3.678082192,5.847792998,82.07305936,4.391171994,651,663,1314,323.6453577,352.3759513,7519.727273,1718.540965,15.21461187,801,513,9678.131313,644.1604938,3.015192857,2.634565331,0.609589041
90892734,8.584804298,6.180353031,3.301611665,249.724482,16.03914045,634,669,1303,527.7651573,511.7521105,13486.30014,490.7585266,18.96853415,803,500,17072.12824,3735.824011,5.324728774,4.472105997,0.616270146
