data_assists,data_avg_kal,data_deaths,data_denies,data_games_dire,data_games_radiant,data_gold_spent,data_gpm,data_hero_damage,data_hero_healing,data_kda,data_kills,data_last_hits,data_level,data_losses,data_nickname,data_steam_id,data_total,data_tower_damage,data_winrate,data_wins,data_xpm
8.981923822,4.383199124,4.525500323,15.65461588,779,770,17095.03655,519.2692059,16467.60965,229.4444444,3.570756063,7.177533893,237.5358296,18.69851517,726,Illidan,26316691,1549,3325.013158,0.531310523,823,512.1381536
8.559508409,4.235579733,3.436610608,7.223156533,715,831,13291.02419,388.6203105,10410.80645,654.7951613,3.702051572,4.163001294,145.9935317,16.13324709,651,Aui_2000,40547474,1546,1663.235484,0.578913325,895,396.7037516
8.282637076,4.513503111,4.424934726,13.27480418,758,774,18713.01932,509.3191906,18308.54227,201.9214976,3.622658209,7.747389034,231.8296345,19.07114883,765,G,87586992,1532,2703.057971,0.500652742,767,523.7330287
10.40052875,2.966106908,5.564441507,2.823529412,709,804,11182.33628,329.333113,9580.888496,757.7115044,2.559448866,3.841374752,92.49173827,15.15862525,677,ixmike88,86715129,1513,788.6513274,0.552544613,836,368.9233311
8.456536165,5.012365649,3.464499005,11.71731918,672,835,17788.30891,546.1645654,15490.81736,225.5693348,4.319862095,6.509621765,257.4406105,19.09356337,630,Sylar,108382060,1507,3903.529876,0.581950896,877,529.128069
10.59853529,4.042810908,4.548601864,7.609853529,729,773,15175.70574,435.8868176,13209.53947,804.5861244,3.340017564,4.593874834,176.1225033,17.79161119,546,iceiceice,84772440,1502,1567.488038,0.636484687,956,458.3189081
8.844190732,5.217362956,3.512424446,15.56010745,733,756,18372.97078,533.9408999,14237.5276,301.612013,4.34416826,6.414372062,244.35863,18.81128274,627,Loda,101495620,1489,3021.831169,0.578912022,862,517.5285426
10.08870968,3.18172508,4.677419355,1.956317204,748,740,8495.93007,278.6142473,6920.818182,1415.727273,2.757183908,2.807795699,51.46102151,14.46706989,573,ppd,86727555,1488,426.7706294,0.614919355,915,328.7943548
13.11118598,3.492618515,5.359838275,2.833557951,698,786,10222.90847,317.5990566,9046.66296,1201.531223,3.077068142,3.381401617,76.82681941,15.97439353,615,kaka,139876032,1484,365.6552609,0.585579515,869,362.4150943
10.7630137,2.88562,5.676027397,2.732191781,678,782,8441.927803,280.8445205,6986.606759,1579.076805,2.441293592,3.093835616,57.15958904,14.23493151,605,EGM,3916428,1460,437.2642089,0.585616438,855,319.1630137
11.15569273,2.988880188,5.305898491,3.083676269,664,794,9197.503311,269.5109739,7959.164238,1803.064901,2.597466391,2.626200274,57.11248285,14.81412894,606,pieliedie,6922000,1458,430.2476821,0.58436214,852,309.1227709
10.79711142,3.856808178,4.60866575,5.683631362,784,670,11122.81853,343.5364512,9431.88417,874.8803089,3.317564543,4.492434663,94.67537827,15.57152682,718,Bignum,90423751,1454,901.5762548,0.506189821,736,375.4236589
11.43589744,3.767154518,4.472626473,3.335412335,642,801,9792.734375,305.5474705,8237.297991,955.2310268,3.294700961,3.3000693,80.17255717,15.31392931,578,old LaNm,89423756,1443,554.1216518,0.599445599,865,344.8669439
11.16978517,3.143852854,5.266805267,3.223839224,759,684,8793.421808,278.2030492,7043.527977,920.5222382,2.679868421,2.944559945,56.68676369,14.19126819,702,j4,75750590,1443,485.3098996,0.513513514,741,311.6777547
9.884401114,3.530456013,4.631615599,5.118384401,722,714,13441.85574,423.2681058,10862.97059,435.4859944,3.130205984,4.613509749,160.6079387,17.33495822,700,chshrct,86870856,1436,930.7927171,0.512534819,736,457.4895543
9.266898955,5.447651104,3.88641115,12.20905923,725,710,19173.97059,558.4898955,19724.40061,209.7535497,4.593329747,8.58466899,261.9679443,20.32125436,546,Somnus?M,106863163,1435,2650.054767,0.619512195,889,566.984669
9.836820084,3.6326249,4.755927476,6.344490934,716,718,11995.70707,395.2301255,10219.68889,749.1535354,3.094721408,4.881450488,130.5306834,16.37587169,609,Funn1k,86723143,1434,856.1676768,0.575313808,825,434.3158996
9.576011158,3.343440062,4.336820084,1.826359833,714,720,8462.648871,265.693166,5932.687885,1931.809035,2.89805435,2.992329149,54.4748954,13.46861925,580,Akke,41288955,1434,330.9178645,0.59553696,854,284.8152022
8.919050942,5.42094407,3.615491975,12.07327285,704,729,18369.39904,514.3698535,17492.22476,345.2463942,4.506079907,7.372644801,233.0488486,19.25401256,625,Pajkatt,87285329,1433,3481.019231,0.563852059,808,522.9099791
11.33706294,2.94452475,5.579020979,1.824475524,686,744,8687.486188,255.2811189,7739.335635,1782.241713,2.463775382,2.408391608,39.28321678,13.78531469,618,VANSKOR,11550182,1430,369.1629834,0.567832168,812,291.4447552
10.50458716,4.706505385,3.954834157,7.637967537,711,706,13119.6068,400.5681016,11815.31775,728.607864,4.011063526,5.358503881,143.6457304,17.13055752,621,MSS,86726887,1417,956.5696068,0.561750176,796,428.8151023
9.048295455,5.12924581,3.7734375,15.28409091,663,745,18873.46853,517.5490057,16130.74825,371.572028,4.125917561,6.520596591,240.546875,19.15127841,524,MuShi,89871557,1408,3370.179021,0.627840909,884,521.8735795
9.043916487,4.512753489,3.731461483,9.758099352,738,651,13074.86028,429.6652268,10414.7984,382.4311377,3.850665638,5.324694024,162.4514039,17.18214543,566,Fear,87177591,1389,1941.051896,0.592512599,823,457.4082073
11.40391588,4.529272608,4.174039159,6.29369108,653,726,14056.68462,416.9195069,11468.03077,731.98,3.82904795,4.578680203,158.1406817,17.29079043,520,Ohaiyo,93616251,1379,1088.998462,0.622915156,859,442.6084119
9.675852067,4.531239625,4.43582306,15.56852792,647,732,16948.40125,487.0050761,17126.46552,320.4169279,3.673369299,6.618564177,204.0427846,18.40319072,658,633,96196828,1379,2130.191223,0.52284264,721,496.1007977
10.81934033,2.966775829,6.443778111,7.119190405,656,678,12531.92559,379.7098951,12003.63055,302.0456919,2.518613309,5.410044978,123.2331334,16.39955022,606,SexyBamboe,20321748,1334,1078.573107,0.545727136,728,411.1754123
11.7283105,3.015192857,5.847792998,4.391171994,651,663,9678.131313,323.6453577,7519.727273,1718.540965,2.634565331,3.678082192,82.07305936,15.21461187,513,Solo,134556694,1314,644.1604938,0.609589041,801,352.3759513
8.584804298,5.324728774,3.301611665,16.03914045,634,669,17072.12824,527.7651573,13486.30014,490.7585266,4.472105997,6.180353031,249.724482,18.96853415,500,BurNIng,90892734,1303,3735.824011,0.616270146,803,511.7521105
7.919405321,4.512732032,3.589201878,9.284037559,627,651,20753.18182,523.3215962,17740.93802,100.2376033,3.934379769,6.201877934,252.9694836,19.13693271,611,qojqva,86738694,1278,3522.214876,0.521909233,667,525.5109546
11.70611285,4.043568809,5.247648903,7.29153605,631,645,13230.27473,420.8275862,12456.03297,742.1877289,3.280316607,5.507836991,154.1551724,17.5846395,484,MinD_ContRoL,34505203,1276,1438.605311,0.620689655,792,449.5485893
9.040348101,5.263905925,3.527689873,13.53164557,615,649,18176.5855,515.3544304,16848.28788,375.7878788,4.517604844,6.896360759,238.1890823,19.03243671,601,Moogy,117281554,1264,3479.428571,0.524525317,663,521.534019
11.20981789,3.459580956,5.102929533,3.951702296,611,652,9415.846995,309.5969913,7610.062295,1078.029508,2.909076804,3.634996041,70.57640538,15.23594616,579,CeMaTheSlayeR,91460772,1263,362.9551913,0.541567696,684,343.8456057
11.23930269,3.372643407,5.213153724,3.740095087,622,640,11314.99269,363.0855784,11613.39327,1271.928363,2.921872625,3.992868463,111.2361331,16.52852615,442,zai,73562326,1262,912.9488304,0.649762282,820,407.0023772
10.32698413,4.261375437,4.451587302,10.58650794,666,594,14137.80415,463.8904762,14032.45549,843.1246291,3.505437689,5.277777778,185.1071429,17.99047619,517,Sneyking,10366616,1260,1812.513353,0.58968254,743,498.3563492
9.613545817,4.194494919,4.286055777,6.349800797,631,624,17161.80212,463.250996,15192.38339,413.6501767,3.565346719,5.667729084,190.7561753,17.67569721,582,Sedoy,53178236,1255,3446.757951,0.53625498,673,475.4573705
9.184504792,3.211875099,4.75399361,7.317092652,626,626,13051.71687,402.1525559,11794.32831,464.9066265,2.838205645,4.308306709,159.1142173,16.7715655,606,Trixi,8712306,1252,973.0933735,0.515974441,646,431.8035144
10.86131387,3.332680275,5.116788321,3.593673966,641,592,10369.17266,314.0235199,7634.256115,666.4374101,2.774132192,3.333333333,87.39497161,15.43227899,510,MiSeRy,87382579,1233,739.1769784,0.586374696,723,345.1792376
10.39593496,2.747541143,5.684552846,2.553658537,616,614,8640.576923,262.7796748,7006.817814,1411.87247,2.321224256,2.799186992,49.85609756,13.58617886,585,yol,76600360,1230,406.3097166,0.524390244,645,289.7292683
7.597233523,5.288049368,3.242473556,16.63466233,614,615,19528.06995,545.369406,15590.46891,145.2331606,4.418067754,6.728234337,249.8356387,19.12449146,514,Black^,21289303,1229,4184.981865,0.5817738,715,547.4727421
8.483319772,5.384139139,3.110659072,17.16192026,578,651,17855.95833,510.8787632,12045.52778,170.2972222,4.654721423,5.995931652,223.6248983,18.27908869,510,TC,67601693,1229,2983.888889,0.585028478,719,522.3474369
8.595257563,4.195815158,4.300081766,15.43663123,600,623,16321.82692,521.574816,11301.87821,346.8910256,3.476516448,6.354047424,216.3875715,18.06132461,507,XBOCT,89625472,1223,2153.689103,0.585445626,716,521.7906787
11.22976288,3.2672121,5.435813573,2.80212592,651,572,8880.18226,285.8217498,8217.159174,1543.788578,2.658995187,3.224039248,56.35486509,14.70645953,546,Cr1t-,25907144,1223,514.3390036,0.553556828,677,330.7326247
11.59474979,3.925779914,4.522559475,4.916324856,565,654,12084.80672,390.8392125,10833.6084,1039.122689,3.478323962,4.136177194,133.3617719,16.1197703,471,xiao8,98887913,1219,1491.468908,0.613617719,748,398.5036916
9.07781457,5.322891549,3.406456954,12.76821192,632,576,18266.25698,484.75,17098.38175,222.3947858,4.62308627,6.670529801,213.0422185,18.44122517,492,Ferrari_430,88585077,1208,1806.731844,0.592715232,716,500.1109272
9.359466222,3.732409257,4.317764804,8.51292744,607,592,12065.21242,409.1534612,9787.754902,559.0065359,3.114545103,4.088407006,160.1718098,16.64386989,554,Xi,89246836,1199,993.0212418,0.53794829,645,424.6246872
8.369346734,2.700914019,4.888609715,3.568676717,569,625,8366.354515,272.8190955,4877.839465,1143.123746,2.306664382,2.907035176,59.9321608,13.30737018,531,Goblak,89137399,1194,461.0535117,0.555276382,663,298.4832496
10.89765101,4.086644817,4.588087248,8.026845638,610,582,15203.24161,421.3347315,14715.39329,717.5395973,3.424574877,4.814597315,171.136745,17.71728188,531,June,138885864,1192,1784.416107,0.554530201,661,446.2139262
9.887858347,5.251101906,3.676222597,13.90556492,585,601,16991.69565,501.6121417,16264.07174,552.8652174,4.300229358,5.92074199,227.2065767,18.6450253,470,ky xY `|,91644707,1186,2853.947826,0.603709949,716,507.8726813
9.702702703,3.753070545,4.723817568,5.146114865,590,594,12235.61516,419.6993243,10165.59227,367.6523605,3.166279278,5.254222973,152.1765203,17.02787162,601,Shachlo,123787524,1184,1537.384835,0.492398649,583,446.0903716
9.745516652,5.156126524,4.018787361,15.470538,583,588,19995.88129,586.3304868,20990.30396,212.7967626,4.57118572,8.625106746,292.7694278,20.62083689,501,Sccc,149486894,1171,3152.86241,0.572160547,670,571.5209223
10.39845758,2.970943029,5.157669237,6.371893745,512,655,11940.18395,371.1542416,8529.951505,928.8244147,2.602757933,3.025706941,140.5998286,16.23050557,502,rOtk,91698091,1167,537.6086957,0.569837189,665,396.3770351
10.39313305,4.627860594,4.16223176,8.200858369,549,616,15324.08492,467.5896996,13684.25476,372.2913616,3.961641576,6.096137339,195.2274678,18.19828326,542,yoky-,112250781,1165,1612.934114,0.534763949,623,483.7648069
9.358572672,4.986388078,4.209747607,9.953872933,655,494,18579.54913,510.6832028,18342.63795,450.9946164,3.83336779,6.778938207,232.7824195,19.04786771,525,Ace,97590558,1149,4128.024226,0.54308094,624,529.2445605
11.97110333,3.432246771,5.004378284,3.04028021,539,603,9515.865273,285.0359019,7845.83043,1317.831591,3.003849519,3.061295972,65.058669,15.18301226,489,Q,140153524,1142,547.9547038,0.571803853,653,324.3765324
9.81233244,5.192418024,3.888293119,11.49776586,460,659,17739.41781,501.2493298,17796.54566,171.2180365,4.235578028,6.656836461,235.7006256,19.53798034,534,Limmp,12231202,1119,2775.361872,0.522788204,585,520.5826631
9.928507596,5.784277253,3.763181412,16.69347632,563,556,18297.55495,542.9052726,18143.28022,199.8208791,4.741391593,7.914209115,241.4084004,19.5049151,417,No[o]ne-,106573901,1119,3088.532967,0.627345845,702,560.1867739
9.717352415,4.658671885,4.501788909,11.31932021,584,534,16002.56214,502.9874776,16851.50287,256.041109,3.751440493,7.170840787,201.9847943,18.82647585,488,old chicken,135878232,1118,2527.910134,0.563506261,630,517.8765653
10.35394265,3.764126215,5.452508961,6.884408602,549,567,14766.00124,417.4614695,12884.8296,712.011194,2.897945768,5.447132616,161.6200717,17.03763441,497,ALOHADANCE,123051238,1116,2511.768657,0.554659498,619,438.4157706
10.88309353,2.98567263,5.759892086,3.769784173,566,546,10615.01214,346.0548561,8921.932039,909.1128641,2.623575332,4.228417266,104.118705,15.81205036,576,rmN-,87197791,1112,852.2196602,0.482014389,536,377.2248201
8.514466546,3.092142527,4.197106691,1.600361664,540,566,9985.852941,297.0804702,5576.35,941.9735294,2.771434726,3.117540687,75.47739602,13.96925859,509,wayto,38515149,1106,541.5735294,0.539783002,597,322.7088608
11.7182971,4.244107237,4.630434783,4.374094203,534,570,11526.72414,374.0371377,10391.0899,1359.75,3.581768388,4.866847826,121.7581522,17.38405797,448,DJ,102099826,1104,659.5381773,0.594202899,656,420.7572464
9.810688406,3.08122386,4.757246377,1.349637681,509,595,8902.884615,269.0471014,6596.400641,1016.272436,2.744478294,3.245471014,53.89130435,13.47826087,467,FLUFFNSTUFF,41470731,1104,371.6314103,0.576992754,637,292.5353261
11.15454545,3.809421108,4.377272727,2.691818182,513,587,10266.89394,292.1590909,7754.79798,1020.765152,3.315057113,3.356363636,64.40545455,14.29090909,402,Net,89249333,1100,836.1868687,0.634545455,698,318.9518182
8.309306569,5.285661895,3.392335766,18.62956204,537,559,19362.73585,562.6888686,13019.22013,178.7232704,4.554061323,7.13959854,260.1925182,18.82481752,397,Hao,88508515,1096,3076.572327,0.637773723,699,544.1368613
9.056221198,4.55212954,3.816589862,12.41658986,535,550,16341.89243,438.3511521,14705.78088,69.26693227,3.898816711,5.823963134,160.8147465,17.05529954,483,Scandal,86750262,1085,1804.605578,0.55483871,602,472.8663594
